"";"FreqNdx";"order";"order_Freq";"date";"date_Freq";"customer";"customer_Freq";"item";"item_Freq";"amount";"amount_Freq";"quantity";"quantity_Freq";"price";"price_Freq"
"152";152;"11110005730";8;;;"11ELECOM16133";16;"48842";132;"35.42";219;;;"23.33333333";1
"153";153;"11110005733";8;;;"11ELECOM16982";16;"48843";19;"35.83";281;;;"23.335";5
"154";154;"11110005755";8;;;"11ELECOM20312";16;"48844";37;"36";2;;;"23.58";3
"155";155;"11110005759";8;;;"11ELECOM2186";16;"48846";11;"36.67";17;;;"23.75";223
"156";156;"11110005794";8;;;"11ELECOM2632";16;"48847";40;"36.83";13;;;"24";2
"157";157;"11110005796";8;;;"11ELECOM26736";16;"48848";353;"37.5";515;;;"24.165";3
"158";158;"11110005803";8;;;"11ELECOM2734";16;"48849";328;"37.54";1;;;"24.17";53
"159";159;"11110005815";8;;;"11ELECOM2735";16;"48850";74;"37.92";1;;;"24.42";1
"160";160;"11110005822";8;;;"11ELECOM30317";16;"48851";67;"38";1;;;"24.58";650
"161";161;"11110005834";8;;;"11ELECOM30745";16;"48852";239;"38.33";134;;;"24.5825";1
"162";162;"11110007194";8;;;"11ELECOM31272";16;"48853";179;"38.5";1;;;"24.58333333";3
"163";163;"11110011156";8;;;"11ELECOM3380";16;"48854";200;"38.96";1;;;"24.585";24
"164";164;"11110011714";8;;;"11ELECOM3483";16;"48855";182;"39.17";125;;;"24.67";2
"165";165;"11110011715";8;;;"11ELECOM3684";16;"48856";185;"39.58";85;;;"25";2067
"166";166;"11110011717";8;;;"11ELECOM3818";16;"48857";24;"39.67";67;;;"25.42";1
"167";167;"11110011725";8;;;"11ELECOM3923";16;"48858";259;"40";100;;;"25.83";492
"168";168;"11110011742";8;;;"11ELECOM3996";16;"48859";93;"40.33";1;;;"25.8325";3
"169";169;"11110011755";8;;;"11ELECOM40100";16;"48860";121;"40.37";3;;;"25.83333333";1
"170";170;"11110011761";8;;;"11ELECOM4042";16;"48861";142;"40.42";1;;;"25.835";13
"171";171;"11110011771";8;;;"11ELECOM408";16;"48862";18;"40.83";981;;;"26";2
"172";172;"11110011773";8;;;"11ELECOM4388";16;"48863";311;"41.25";185;;;"26.42";2
"173";173;"11110011781";8;;;"11ELECOM4532";16;"48864";52;"41.62";84;;;"26.665";18
"174";174;"11110011800";8;;;"11ELECOM4735";16;"48866";15;"41.63";2;;;"26.66666667";4
"175";175;"11110011810";8;;;"11ELECOM5089";16;"48867";75;"41.66";4;;;"26.6675";2
"176";176;"11110011814";8;;;"11ELECOM5201";16;"48869";44;"41.67";262;;;"26.67";373
"177";177;"11110011840";8;;;"11ELECOM5594";16;"48870";34;"42";2;;;"27.08";137
"178";178;"11110011860";8;;;"11ELECOM6819";16;"48871";66;"42.08";1;;;"27.0825";1
"179";179;"11110011865";8;;;"11ELECOM7378";16;"48872";107;"42.5";86;;;"27.08333333";1
"180";180;"11110011873";8;;;"11ELECOM7675";16;"48873";48;"43.33";188;;;"27.085";8
"181";181;"11110011875";8;;;"11ELECOM11879";15;"48874";84;"43.75";163;;;"27.17";2
"182";182;"11110020934";8;;;"11ELECOM12198";15;"48875";25;"44.17";258;;;"27.33";24
"183";183;"11110021416";8;;;"11ELECOM1297";15;"48876";51;"45";3;;;"27.335";1
"184";184;"11110025852";8;;;"11ELECOM13515";15;"48877";58;"45.42";165;;;"27.5";128
"185";185;"11110028990";8;;;"11ELECOM13587";15;"48878";94;"45.83";760;;;"27.915";5
"186";186;"11110029003";8;;;"11ELECOM13674";15;"48879";73;"46";3;;;"27.92";49
"187";187;"11110029004";8;;;"11ELECOM14107";15;"48880";233;"46.67";45;;;"28.33";736
"188";188;"11110029020";8;;;"11ELECOM1413";15;"48881";273;"47.46";15;;;"28.33333333";6
"189";189;"11110029055";8;;;"11ELECOM14326";15;"48882";129;"47.5";31;;;"28.335";29
"190";190;"11110029077";8;;;"11ELECOM14857";15;"48883";59;"48.33";6;;;"28.67";9
"191";191;"11110029105";8;;;"11ELECOM15576";15;"48884";66;"48.34";1;;;"28.75";386
"192";192;"11110029107";8;;;"11ELECOM16280";15;"48885";64;"48.75";114;;;"29.165";47
"193";193;"11110029150";8;;;"11ELECOM16678";15;"48886";92;"49.16";1;;;"29.16666667";8
"194";194;"11110029196";8;;;"11ELECOM16693";15;"48887";100;"49.17";150;;;"29.1675";2
"195";195;"11110029197";8;;;"11ELECOM16841";15;"48888";111;"49.58";2;;;"29.17";1108
"196";196;"11110029209";8;;;"11ELECOM17256";15;"48889";89;"50";167;;;"29.58";151
"197";197;"11110029241";8;;;"11ELECOM18020";15;"48890";37;"50.01";3;;;"29.58333333";1
"198";198;"11110029275";8;;;"11ELECOM18737";15;"48891";59;"50.83";28;;;"29.585";2
"199";199;"11110029289";8;;;"11ELECOM19396";15;"48892";78;"51.67";76;;;"29.75";40
"200";200;"11110029334";8;;;"11ELECOM23579";15;"48893";98;"51.92";13;;;"30";356
"201";201;"11110029337";8;;;"11ELECOM24124";15;"48894";26;"52.08";255;;;"30.12";8
"202";202;"11110029356";8;;;"11ELECOM26329";15;"48895";35;"52.5";363;;;"30.415";1
"203";203;"11110029358";8;;;"11ELECOM280";15;"48896";29;"53.33";65;;;"30.42";62
"204";204;"11110029375";8;;;"11ELECOM2987";15;"48897";78;"53.34";1;;;"30.83";487
"205";205;"11110029419";8;;;"11ELECOM31147";15;"48898";88;"54.17";976;;;"30.8325";2
"206";206;"11110029432";8;;;"11ELECOM3263";15;"48899";42;"54.58";488;;;"30.83333333";13
"207";207;"11110029466";8;;;"11ELECOM34235";15;"48900";15;"54.67";1;;;"30.834";1
"208";208;"11110029510";8;;;"11ELECOM3827";15;"48901";127;"55";73;;;"30.835";32
"209";209;"11110029516";8;;;"11ELECOM3888";15;"48902";43;"55.5";25;;;"31.25";28
"210";210;"11110029526";8;;;"11ELECOM39095";15;"48903";192;"55.83";153;;;"31.665";11
"211";211;"11110029540";8;;;"11ELECOM3961";15;"48904";57;"55.84";2;;;"31.66666667";1
"212";212;"11110029548";8;;;"11ELECOM4006";15;"48905";49;"56.25";16;;;"31.6675";1
"213";213;"11110029550";8;;;"11ELECOM40074";15;"48906";32;"56.32";15;;;"31.67";267
"214";214;"11110029559";8;;;"11ELECOM40520";15;"48907";25;"56.66";3;;;"32.08";705
"215";215;"11110029560";8;;;"11ELECOM4181";15;"48908";102;"56.67";291;;;"32.08333333";1
"216";216;"11110029635";8;;;"11ELECOM4261";15;"48909";107;"57.08";78;;;"32.085";15
